size,type,entropy,need_compression
292345,JPG,7.451428037220013,0
52157,JPG,7.542002791494883,0
1276,JPG,1.373955530339128,1
127323,JPG,6.9835222398541745,0
417410,JPG,5.510120337664082,1
252918,JPG,6.919966991262901,0
708012,JPG,7.425122051060346,0
2901,JPG,6.312025442431644,0
20450,JPG,7.811725729575653,0
131311,JPG,6.226319327436178,0
12040,JPG,7.475978155500487,0
678201,JPG,7.814806483141639,0
1770703,JPG,6.899354150767207,0
2290,JPG,6.099961556323022,0
1112762,JPG,7.049794222902805,0
80961,JPG,7.247109980123357,1
8157,JPG,5.863186511364324,0
585100,JPG,7.828532163161633,0
102287,JPG,6.72014779810441,0
291707,JPG,3.2969254651052813,1
33448,JPG,6.602518115355632,0
9558,JPG,7.3714894618152496,0
2865,JPG,4.9882937350806715,0
456263,JPG,7.93129141445943,0
8073,JPG,5.358150305938728,0
589150,JPG,7.802300847742967,0
180386,JPG,7.975510209684351,0
1480854,JPG,7.906439343042084,0
200370,JPG,7.900551077054625,0
11258,JPG,5.856687686845501,0
39471,JPG,5.551524270090547,0
73575,JPG,6.750028114914958,0
317013,JPG,6.872081441756845,0
11957,JPG,2.293482844998355,1
20068,JPG,4.456302258712633,0
100959,JPG,5.87656232462914,1
65676,JPG,7.493110578483044,0
533980,JPG,5.705648406207862,0
44344,JPG,7.697430898283816,0
19328,JPG,5.070679741750144,1
70388,JPG,6.160084724396444,0
31137,JPG,6.9190114050189795,0
21038,JPG,7.761419139949052,0
217299,JPG,7.021101277991282,0
644802,JPG,7.695478863675465,0
73708,JPG,0.11494531861129052,1
18349,JPG,6.699559762904811,0
1985,JPG,5.7496606801681,0
46784,JPG,6.020180609895857,1
431217,JPG,7.694366017069255,0
1091189,JPG,7.227922257971603,0
58804,JPG,5.740438260168786,0
58605,JPG,6.939285408533366,0
352314,JPG,6.504419936649749,0
169755,JPG,0.9125278062938719,1
87251,JPG,5.952777474098425,0
14301,JPG,7.449957565140591,0
25349,JPG,7.854046352301819,0
5590293,JPG,7.776117867671151,0
100578,JPG,7.354205599280733,0
98718,JPG,3.7579680262874753,0
292478,JPG,7.646955299963714,0
10880,JPG,7.083615495959356,0
3017,JPG,7.407205227374638,0
81741,JPG,4.876062525258925,1
151082,JPG,5.674004037361327,0
2968,JPG,5.9224840493084345,0
193907,JPG,7.662322035054195,0
85278,JPG,5.894307165900311,0
12186,JPG,7.883532318087306,0
311192,JPG,6.512655597654853,0
262331,JPG,7.233399900893798,0
105221,JPG,5.46602359017128,0
18017,JPG,7.751567665147331,0
13007,JPG,6.632197855465189,0
24815,JPG,7.64041727003889,0
1467,JPG,5.685599809260964,0
16536,JPG,6.1999795716515225,0
117940,JPG,4.589716339830201,1
208924,JPG,7.360559247688438,0
28768,JPG,7.605536792080036,0
114442,JPG,3.758122876813419,1
599360,JPG,7.85885145239411,0
15234,JPG,2.516935996959917,0
16563,JPG,5.756799032290681,0
187928,JPG,5.227473436189286,0
74466,JPG,3.980365413607944,0
560286,JPG,7.365347005938757,0
138593,JPG,5.086719779970836,0
111541,JPG,6.150878785612532,0
229911,JPG,6.910056978745413,0
2093,JPG,6.312480552690163,0
14331,JPG,7.424327546985244,0
13146,JPG,6.476170199024446,0
1155,JPG,1.2491946352937426,1
93377,JPG,2.2323972570402946,0
248121,JPG,7.141823181018046,0
1879,JPG,6.192602181610887,0
13634,JPG,4.236030158916003,0
86375,JPG,1.8724023676450179,1
45927,JPG,7.117934458256775,0
201714,JPG,7.828229234356378,0
12454,JPG,4.545981698278818,0
171942,JPG,6.076722159861999,0
299928,JPG,7.921564352200192,0
41378,JPG,7.2514704485292265,0
47868,JPG,4.864086627599112,1
50743,JPG,7.354364382123611,0
13668,JPG,7.603588434936034,0
40833,JPG,5.023346839673069,0
13676,JPG,6.7159052533781,0
253580,JPG,1.7478791052767346,0
7778,JPG,6.5545306692455,0
82985,JPG,6.116893087935769,0
72078,JPG,6.457059588577136,1
159490,JPG,7.365342948308169,0
834141,JPG,7.824438044870715,0
129302,JPG,2.582729737216709,1
19807,JPG,7.881043968746099,0
476974,JPG,7.612012570189504,0
16824,JPG,7.5727124160881445,0
16776,JPG,4.623289718510728,0
15139,JPG,2.2752216458463206,0
10149,JPG,5.87199417835461,0
27558,JPG,7.735152267307722,0
119732,JPG,7.881718608576398,0
28383,JPG,7.516294694521747,0
201277,JPG,6.211416756822465,1
2864,JPG,6.148147908185964,0
2072,JPG,2.740705258969543,0
4592,JPG,0.7765704462353052,1
19944,JPG,7.8215206694697565,0
373700,JPG,7.816279987445488,0
174472,JPG,6.199349821749612,0
39456,JPG,5.253940391768314,1
1327294,JPG,7.871631621877003,0
92716,JPG,7.614367287512493,0
34477,JPG,5.53665568305084,0
154453,JPG,7.627361155525771,0
273004,JPG,7.7877591894259695,0
133915,JPG,7.769718622250169,0
13859,JPG,2.279326988104483,0
1125,JPG,1.174756618749114,1
48951,JPG,6.5964075929244474,0
166243,JPG,7.443894291788121,0
530063,JPG,7.581515836828543,0
61972,JPG,6.15953327653385,1
46524,JPG,7.390614843724866,0
237773,JPG,5.854861589759889,0
34046,JPG,6.5163594633482385,1
19532,JPG,6.145231092832815,0
79499,JPG,1.1103733816105976,1
119646,JPG,5.56478653882685,1
104381,JPG,4.063606233233526,1
20365,JPG,7.827805441072757,0
127567,JPG,6.688145171583694,0
12318,JPG,6.960812319619695,0
71430,JPG,6.802718991721419,0
197619,JPG,7.670118520358217,0
32091,JPG,7.455418080434015,0
57230,JPG,1.31657280516964,1
24867,JPG,7.508801577963616,0
16574,JPG,7.266676659632311,0
3061,JPG,6.848558393848251,0
189186,JPG,7.132910034527411,0
449946,JPG,1.9110778610533568,0
14382,JPG,3.353526727570075,0
33867,JPG,3.5666380423370114,1
34505,JPG,4.138477249942922,0
474385,JPG,4.778219268229336,1
21414,JPG,7.861443961292563,0
19549,JPG,6.5838410603778925,0
18419,JPG,6.483965607061837,0
266091,JPG,7.146428438264168,0
155386,JPG,7.845527634828336,0
103078,JPG,7.155290494876109,0
95597,JPG,1.8640617741745167,0
202110,JPG,6.8567065716546,0
60780,JPG,6.630666447657197,0
19615,JPG,6.322946462379974,0
27026,JPG,7.1459540011334175,0
488515,JPG,7.714954937560921,0
31387,JPG,7.2837319999258066,0
74660,JPG,2.8478169328003404,0
129610,JPG,7.296490945354892,0
88564,JPG,7.455608618500883,0
353096,JPG,5.52391979709771,1
877366,JPG,7.548760389287107,0
132555,JPG,7.318169472835,0
608839,JPG,7.719912547847446,0
15528,JPG,6.8760447591535225,0
57554,JPG,6.036542318218443,0
34178,JPG,6.9375655498310245,0
183501,JPG,7.645634543727336,0
84220,JPG,6.920723166370508,1
23169,JPG,6.141995852473262,0
296474,JPG,7.133394078020167,0
203286,JPG,7.768566873895026,0
415578,JPG,7.624367428102416,0
26546,JPG,6.790804249524347,0
163017,JPG,7.730742015286593,0
14796,JPG,5.709121579521889,0
152863,JPG,2.1452831738432776,0
606524,JPG,5.935790911975134,0
45492,JPG,6.844282442053572,0
75661,JPG,2.631514595581145,1
89273,JPG,3.392538623850044,0
195676,,7.346304988662118,0
314960,JPG,7.7496541655606315,0
100743,JPG,7.602612270396335,0
4432461,JPG,7.182130019091202,0
89105,JPG,3.9297799491195864,0
19706,JPG,6.6233994371949425,0
785692,JPG,7.835141747404844,0
20769,JPG,4.177776180722499,0
988678,JPG,7.773450001608313,0
40106,JPG,1.7900382659021508,1
15862,JPG,7.840573746103958,0
1987,JPG,7.271878861711093,0
58497,JPG,5.079447837812489,1
41891,JPG,7.533961317244412,0
134144,JPG,3.798509984985086,0
119726,JPG,7.584854254013756,0
17287,JPG,5.462911575358814,0
14482,JPG,7.731418246274274,0
20277,JPG,5.9991567575043545,0
26047,JPG,7.536623501417631,0
129838,JPG,5.04932994764551,1
42050,JPG,6.869940532997655,0
359379,JPG,7.121751400270532,0
64128,JPG,4.1843604404699715,1
2324,JPG,6.57654481267343,0
18589,JPG,6.006283929087309,0
24874,JPG,5.458383998965502,0
63835,JPG,7.907601111642549,0
17558,JPG,7.663065185964568,0
15751,JPG,7.568399050553509,0
140404,JPG,2.6328579557969634,0
111121,JPG,6.836302734976712,0
28296,JPG,7.770608476725055,0
144410,JPG,6.908774670743143,0
188287,JPG,7.643485408980313,0
37987,JPG,6.604092186910571,1
2419814,JPG,7.847349612491458,0
720289,JPG,6.93733630442744,0
28278,JPG,6.5558860489865385,0
198028,JPG,6.29915307955793,0
10288,JPG,6.127971031665491,0
4729510,JPG,7.44590218920471,0
13795,JPG,2.935534730475482,1
53289,JPG,7.698446497185882,0
27565,JPG,6.407704123964386,0
89574,JPG,6.967593808411123,0
9536,JPG,4.645055586324122,1
20649,JPG,6.756412567399069,0
71541,JPG,6.924815502644021,0
329417,JPG,7.587468151951382,0
44840,JPG,7.634140453135595,0
360021,JPG,4.0744209238463425,0
106821,JPG,7.503674412731762,0
785898,JPG,7.5042456291291755,0
341539,JPG,7.419804665544297,0
16849,JPG,6.900006729588851,0
53939,JPG,3.3005923175492993,1
256255,JPG,7.640985449506815,0
202094,JPG,7.338171798394878,0
19342,JPG,7.56086998875968,0
15646,JPG,6.794607793640935,0
29586,JPG,6.132555395628248,0
308264,JPG,7.738849557476133,0
726784,JPG,7.680741228533815,0
49614,JPG,4.144639188506306,0
199217,JPG,4.620390896395872,1
248276,JPG,7.783465752781981,0
113144,JPG,7.4588453231101415,0
23906,JPG,6.071471926270257,0
936212,JPG,6.974276787228781,0
400106,JPG,7.2493041447904645,0
122512,JPG,2.4423831182917555,1
74748,JPG,4.417669584822968,0
345271,JPG,4.056370105044111,0
349147,JPG,7.8247406546382425,0
810321,JPG,3.214938783894902,1
373767,JPG,3.3029075545638613,1
19844,JPG,4.596254486929703,0
63040,JPG,3.802876092195271,0
23117,JPG,6.934181566880372,0
83431,JPG,7.81243898726403,0
3758,JPG,7.739319871683747,0
392409,JPG,7.2737627556026965,0
685846,JPG,7.6932604677559775,0
1798,JPG,5.870298569651608,0
256686,JPG,3.902730298051065,1
16166,JPG,7.911366880151133,0
23732,JPG,7.126598188268329,0
2709,JPG,7.753145065052543,0
315912,JPG,7.922981393977982,0
66867,JPG,7.484602720109367,0
16068,JPG,7.6255974818191845,0
104232,JPG,7.193028843934961,0
20854,JPG,3.264877875177164,0
7768,JPG,1.6710979229257186,1
41945,JPG,6.362130519985788,0
19094,JPG,6.770071798257785,0
235062,JPG,6.736702389750556,0
104604,JPG,7.343119150171834,0
132228,JPG,2.805008559979511,0
30681,JPG,6.8131562462752795,0
72407,JPG,1.4197883194252516,1
29427,JPG,7.141466686749939,0
121433,JPG,6.722633239075864,0
138440,JPG,5.04084468351565,1
194963,JPG,7.317963575751353,0
15905,JPG,7.210016914726343,0
133342,JPG,7.8712990537970935,0
2170,JPG,6.607624090869092,0
27249,JPG,1.7884797363059661,1
99420,JPG,5.632503048268887,0
184216,JPG,4.559574121228317,0
109645,JPG,5.886193662373432,0
14993,JPG,7.293988999661027,0
122680,JPG,5.741858740295778,0
192146,JPG,7.173833399066532,0
14819,JPG,6.501785333500066,0
99940,JPG,4.788341744345296,0
8437,JPG,4.757891118998677,0
58754,JPG,3.477957499458102,1
68000,JPG,7.79069791652087,0
292092,JPG,7.7315384439416315,0
51293,JPG,6.822569380172361,0
85020,JPG,4.597437416766254,1
75074,JPG,6.68097199412528,0
31434,JPG,7.302535787440012,0
69240,JPG,6.3940047434797345,1
9938,JPG,3.7277853644741876,1
22572,JPG,7.735598649284268,0
152544,JPG,7.935236116693554,0
25389,JPG,7.713471522657821,0
26232,JPG,2.7529175289165173,1
97791,JPG,7.119372798271014,0
12053,JPG,7.058673219826464,0
1615,JPG,6.2108325319909055,0
120590,JPG,6.677033773485951,0
16276,JPG,7.868871695014146,0
80317,JPG,7.490875265158535,0
248160,JPG,7.460101023848748,0
16910,JPG,7.072648316391077,0
1826,JPG,5.154320252703445,0
14745,JPG,2.395966701236154,0
43594,JPG,6.142055622659563,0
57268,JPG,4.921749480614261,0
16839,JPG,4.135228495907456,0
193193,JPG,6.683122707987972,0
19083,JPG,4.750278110127245,0
81077,JPG,3.554069732218564,1
1033394,JPG,6.334979353556717,0
319071,JPG,7.674360610897624,0
13774,JPG,4.025487291128144,0
162478,JPG,4.04790546751288,0
1543450,JPG,7.62153630317577,0
2303,JPG,7.179150233451565,0
161197,JPG,7.23526994532298,0
555966,JPG,7.815745608009773,0
744208,JPG,7.801283109094297,0
12871,JPG,7.352504997025046,0
13943,JPG,7.61613507126942,0
23876,JPG,6.334687320760565,1
67872,JPG,7.193899741516512,0
19993,JPG,7.742101795393817,0
471365,JPG,5.210440270648916,0
120648,JPG,5.900796513734716,0
315591,JPG,7.761488975248457,0
26885,JPG,5.1711682272445545,0
2097,JPG,6.082618813122149,0
